,,Anul I Seria A,,,,,,Anul I Seria B,,,,,,,,,,Anul I Seria C,,,,,,,,,,Anul I Seria D,,,,,,,Anul I Seria E,,,,,,Anul I Seria F,,,,,,,,,,,,Anul I Seria G,,,,,,,curs,curs,curs,sem,,,,,,,,
,,411A,412A,413A,414A,sala,,411Ba,411Bb,412Ba,412Bb,413Ba,413Bb,414Ba,414Bb,sala,,411Ca,411Cb,412Ca,412Cb,413Ca,413Cb,414Ca,414Cb,sala,,411D,412D,413D,414D,415D,sala,,411E,412E,413E,414E,sala,,411Fa,411Fb,412Fa,412Fb,413Fa,413Fb,414Fa,414Fb,415Fa,415Fb,sala,,411G,412G,413Ga,413Gb,414Ga,414Gb,sala,B306,B219a,B212,,METc (l),Fiz2 (l),SDA (l),,,,,
MARTI,08-09,,,,,,08-09,,,,,,,,,,08-09,,,,,,,,,,08-09,,,,,,,08-09,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,0,0,0,,,,,,,,,
,09-10,"AM2 (curs)
prof A. Petrescu-Nita",,,,A102,09-10,,,,,METc (l) / --,,-- / METc (l),,,09-10,,,,,,,,,,09-10,"Fizică2 (curs) /  AM2 (curs)
prof. S. Ciobanu / prof. C. Bercia",,,,,B306,09-10,,,"-- / 
/ BE2 (s) B09 ",,,09-10,"MS (curs)
prof. E. Simion",,,,,,,,,,B110,09-10,,,,,,,,1,0,0,0.5,2,0,0,11,,,,
,10-11,,,,,,10-11,Fiz (l) /--,,-- / Fiz (l),,,,,,,10-11,,,,,,,,,,10-11,,,,,,,10-11,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,0,0,0,,,,,,,,,
,11-12,"MS (curs)
prof. R. Purtan",,,,A102,11-12,,,,,METc (l) / MS (s),,MS (s) / METc (l),,,11-12,,,,,,,,,,11-12,"METc (curs)
prof. O. Fratu",,,,,B306,11-12,,"BE2 (s) B10 /
/ --","AM2 (s)
B09","-- / 
/ BE2 (s) B10",,11-12,"SDA (curs)
prof R. Hobincu",,,,,,,,,,B110,11-12," METc (curs)
prof.  I. Marcu",,,,,,B206b,1,0,0,4,4,0,0,17,,,,
,12-13,,,,,,12-13,METc (l) / --,,-- / METc (l),,Fiz (l) / MS (s) B11,,MS (s) B11 / Fiz (l),,,12-13,,,,,,,,,,12-13,,,,,,,12-13,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,0,0,0,,,,,,,,,
,13-14,,"-- /
/ BE2 (s) B09",,"AM2 (s) 
B124",,13-14,"METc (l) / 
/ MS (s) B11",,"MS (s) B11 / 
/ METc (l)",,Fiz (l) /--,,-- / Fiz (l),,,13-14,"AM2 (curs)
Prof. M. Joița",,,,,,,,B219a,13-14,"BE2 (curs)
prof. M. Maricaru",,,,,B306,13-14,"BE2 (s) B09 /
/ --","AM2 (s)
B10","SDA (l) / 
/ -- ","-- /
/SDA (l) 
",,13-14,"Fizică2 (curs) / AM2 (curs)
prof. C. Roșu / prof. A. Toma",,,,,,,,,,B110,13-14,"BE2 (curs) 
prof. O. Drosu",,,,,,B206b,1,1,0,4,2,0,1,30,,,,
,14-15,,,,,,14-15,,,,,,,,,,14-15,,,,,,,,,,14-15,,,,,,,14-15,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,0,0,0,,,,,,,,,
,15-16,,,,"-- /
/ BE2 (s) B124",,15-16,AM2 (s) B11,,,,"SDA (l) /
/ -- ","-- /
/ SDA (l) 
",,,,15-16,"Fizică2 (curs)
prof. G. Stanciu
",,,,,,,,B219a,15-16,,,,,,,15-16,"MS (s) B10 /
/ SDA (l)","SDA (l) / 
/ MS (s) B10",,"AM2 (s)
B218",,15-16,,,,,,,,,,,,15-16,METc (l) / --,-- / METc (l),,,,,,0,1,0,3.5,2,0,2,23,,,,
,16-17,,,,,,16-17,,,,,,,,,,16-17,,,,,,,,,,16-17,,,,,,,16-17,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,0,0,0,,,,,,,,,
,17-18,,,,,,17-18,,,"AM2 (s) 
B09",,,,,,,17-18,"MS (curs)
prof O. Sandru",,,,,,,,B219a,17-18,,,,,,,17-18,"AM2 (s)
B10",,,,,17-18,,,,,,,,,,,,17-18,,,,,,,,0,1,0,2,0,0,0,16,,,,
,18-19,,,,,,18-19,,,,,,,,,,18-19,,,,,,,,,,18-19,,,,,,,18-19,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,0,0,0,,,,,,,,,
,19-20,,,,,,19-20,,,,,,,,,,19-20,,,,,,,,,,19-20,,,,,,,19-20,,,,,,19-20,,,,,,,,,,,,19-20,,,,,,,,0,0,0,0,0,0,0,12,,,,
,20-21,,,,,,20-21,,,,,,,,,,20-21,,,,,,,,,,20-21,,,,,,,20-21,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
MIERCURI,08-09,,,,,,08-09,,,,,,,,,,08-09,,,,,,,,,,08-09,,,,,,,08-09,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,,,,,,,,,,,,
,09-10,"MS (l) / 
/ --","-- /
/ MS (l)","AM2 (s)
B09",,,09-10,"Fizică2 (curs)
prof M. Stafe",,,,,,,,B306,09-10,"AM2 (curs) / BE2 (curs)
Prof. M. Joița / prof. V. Ioniță",,,,,,,,B219a,09-10,METc (l) / --,-- / METc (l),,,,,09-10," Fizică2 (curs) / BE2 (curs)
prof G. Cata-Danil / prof. R. Costea",,,,B212,09-10,,,,,,,,,,,,09-10,,,,,,,,1,1,1,1,2,0,0,11,,,,
,10-11,,,,,,10-11,,,,,,,,,,10-11,,,,,,,,,,10-11,,,,,,,10-11,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,0,0,0,,,,,,,,,
,11-12,"AM2 (s)
B09",,"MS (l) / 
/ --","-- / 
/ MS (l)",,11-12,"AM2 (curs)
prof. L. Lemnete",,,,,,,,B306,11-12,"METc (curs)
prof. A. Rusu",,,,,,,,B219a,11-12,,,,,,,11-12,"SDA (curs)
prof V. Grosu",,,,B212,11-12,"Fiz (l) / 
/ MS (s) B10",,"MS (s) B10 /
/ Fiz (l)",,"AM2 (s)
B11",,"SDA (l) / 
/ -- ","-- /
/SDA (l) 
",,,,11-12,,,,,,,,1,1,1,3,2,0,1,16,,,,
,12-13,,,,,,12-13,,,,,,,,,,12-13,,,,,,,,,,12-13,,,METc (l) / --,-- / METc (l),,,12-13,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,0,0,0,,,,,,,,,
