,,Anul III Seria A  - CTI,,,,,,,,,,,Anul III Seria B  - ELA,,,,,,,,,,,Anul III Seria C  - TST,,,,,,,,,,,,Anul III Seria D  - RST,,,,,,,,,,,Anul III Seria E  - MON,,,,,,,,,,,,Anul III Seria F  - ELA En,,,,Anul III Seria G - TST En,,,,,curs,curs,curs,sem,sem,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTI,08-09,,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,,08-09,,,,,,,,,,,,
,09-10,"Tehnici de optimizare (curs)
Prof. Ovidiu Grigore",,,,,,,,,A103,09-10,"Prelucrarea digitală a semnalelor (curs)
Prof. V. Lazarescu",,,,,,,,,B223a,09-10,,,"DEPI(s) B13 /
/ CAD(s) B04",," CM(l) /
/ DEPI(l)","DEPI(l) /
/ CM(l)",,,,,,09-10,"Prelucrarea digitală a semnalelor (curs)
Prof. M. Udrea",,,,,,,,,A101,09-10,"SC(l) /
/ --","-- /
/ SC(l)",,,,,,,,,,09-10,,,,,"DSP(l) /
/ NAI(l)","-- /
/ NAI(l)","NAI(l) /
/ DSP(l)",,09-10,1,1,1,0,1,,,,,,,
,10-11,,,,,,,,,,,10-11,,,,,,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,,10-11,,,,,,,,,,,,
,11-12,"Decizie si estimare in prelucrarea informatiilor (curs) Prof. M. Ciuc / 
/ Prelucrarea digitală a semnalelor (curs) Prof. M. Udrea",,,,,,,,,A103,11-12,"Televiziune (curs)
Prof. I. Tache",,,,,,,,,B223a,11-12,"CAD(s) B04 /
/ DEPI(s) B13",," CM(l) /
/ DEPI(l)","DEPI(l) /
/ CM(l)","DEPI(s) B13 /
/ CAD(s) B04",,,,,,,11-12,"Comunicaţii analogice şi digitale (curs)
Prof. V. Croitoru",,,,,,,,,A101,11-12,"TV(l) /
/ --","-- /
/ TV(l)",,,"SC(l) /
/ --","-- /
/ SC(l)",,,,,,11-12,"DSP(l) /
/ --","-- /
/ DSP(l)",,"
","Network Architectures and Internet (curs) 
Prof. R. Badea",,,A03,11-12,1,1,1,0,2,,,,,,,
,12-13,,,,,,,,,,,12-13,,,,,,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,,12-13,,,,,,,,,,,,
,13-14,"Arhitectura sistemelor de calcul (curs) 
Prof. R. Radescu",,,,,,,,,A103,13-14,"Decizie si estimare in prelucrarea informatiilor (curs)
Prof. V. Neagoe",,,,,,,,,B223a,13-14," CM(l) /
/ DEPI(l)","DEPI(l) /
/ CM(l)","-- /
/ PDS(p) B205",,"PDS(p) B205 /
/ --",,"CAD(s) B13 /
/ DEPI(s) B13",,,,,13-14,"Arhitecturi si Protocoale de Comunicatii (curs)
Prof. O. Catrina",,,,,,,,,A05,13-14,,,PDS(l) / --,-- / PDS(l),"ISM(l) /
/ --","-- /
/ ISM(l)","SC(l) /
/ --",,,"-- /
/ SC(l)",,13-14,"Sensors and Signal Conditioning Circuits (curs)
S.l. Marius Enachescu",,,Sala Infineon,"Analog and Digital Communications (curs)
Prof. S. Halunga",,,A03,13-14,0,1,1,0,1,,,,,,,
,14-15,,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,PDS(l) / --,-- / PDS(l),,,,,,,,14-15,,,,,,,,,14-15,,,,,,,,,,,,
,15-16,,,"-- /
/ TV(l)","TV(l) /
/ --",,,,,,,15-16,,,,,,,,,"DEPI(l) / 
/ --
",,15-16,"PDS(p) B205/
/ CM(s) A806",,,,,,"CM(s) A806 /
/ PDS(p) B205",,,,,15-16,,,,,,,,,,,15-16,,,PDS(l) / SCCS(l),SCCS(l) / PDS(l),,,ISM(l) / --,-- / SC(l),"SC(l) /
/ --","-- /
/ ISM(l)",,15-16,Decision and Estimation in Information Processing (curs) Prof. M. Ciuc / --,,,,"DEPI (curs) Prof. M. Ciuc /
/ -",,,A103,15-16,0,1,0,0,0,,,,,,,
,16-17,,,,,,,,,,,16-17,,,,,,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,,,,16-17,,,"-- / 
/ SCCS(l)","SCCS(l) /
/ --",,,ISM(l) / PDS(l),PDS(l) / SC(l),,,,16-17,,,,,,,,,16-17,,,,,,,,,,,,
