,,Anul III Seria A  - CTI,,,,,,,,,,,Anul III Seria B  - ELA,,,,,,,,,,,Anul III Seria C  - TST,,,,,,,,,,,,Anul III Seria D  - RST,,,,,,,,,,,Anul III Seria E  - MON,,,,,,,,,,,,Anul III Seria F  - ELA En,,,,Anul III Seria G - TST En,,,,,curs,curs,curs,sem,sem,,,,,,,
,12-13,,,,,,,,,,,12-13,,,,,,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,,12-13,,,,,,,,,,"Activitate didactică
opţională",,"Act. Săpt impară /
/ ---"
,13-14,"Tehnologii de programare în Internet (curs)
Prof. C. Stoica",,,,,,,,,A103,13-14,,,"SCCS(l) /
/ --","-- /
/ SCCS(l)","TV(l) /
/ PDS(l)","PDS(l) /
/ TV(l)",,,,,13-14,"-- /
/ PDS(s) B206b",,"PDS(l) /
/ --","-- /
/ PDS(l)","PDS(s) B206b /
/ --",,,,,,,13-14,"CAD(s) B04 / 
/ APC(l)","APC(l) / 
/CAD(s) B04",,,"TPI(l) /
 / –","– /
 /TPI(l)","– /
/CAD(s) B04","CAD(s) B04 /
/ –",,,13-14,"DEPI(l) /
/ --","-- /
/ DEPI(l)","ISM(l) /
/ --","-- /
/ ISM(l)","DEPI(l) /
/ --","-- /
/ DEPI(l)","-- /
/CAF(l)","CAF(l)/
/ --",,,,13-14,,,,,,,,,13-14,0,1,0,0,0,,,,,,,
,14-15,,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,,14-15,,,,,,,,,,,,
,15-16,"Televiziune (curs) 
Prof. I. Tache",,,,,,,,,A103,15-16,,,,,"SCCS(l) /
/ PDS(l)","PDS(l) /
/ SCCS(l)","TV(l) /
/ --","-- /
/ TV(l)",,,15-16,"PDS(l) /
/ --","-- /
/ PDS(l)","PDS(s) B206b /
/ --",,,,,,,,,15-16,"-- /
 / APC(l)","APC(l) /
 / --","– /
/CAD(s) B04","CAD(s) B04 /
/ –","CAD(s) B04 /
/ –","– /
/CAD(s) B04","– /
 / TPI(l)",TPI(l) / / –,,,15-16,,,"DEPI(l) /
/ --","-- /
/ DEPI(l)",,,"-- /
/ DEPI(l)","DEPI(l) /
/ --","CAF(l)/
/ --","-- /
/CAF(l)",,15-16,,,,,,,,,15-16,0,1,0,0,0,,,,,,,
,16-17,,,,,,,,,,,16-17,,,,,,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,,16-17,,,,,,,,,,"Activitate didactică
facultativă",,"--- /
/ Act. Săpt pară"
,17-18,,,,,,,,,,,17-18,,,,,,,"SCCS(l) /
/ --","-- /
/ SCCS(l)",,,17-18,,,,,,,,,,,,17-18,,,,,,,,,,,17-18,,,,,,,,,"TV(l) /
/ --","-- /
/ TV(l)",,17-18,,,,,,,,,17-18,0,0,0,0,0,,,,,,,
,18-19,,,,,,,,,,,18-19,,,,,,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,,18-19,,,,,,,,,,,,
,19-20,,,,,,,,,,,19-20,,,,,,,,,,,19-20,,,,,,,,,,,,19-20,,,,,,,,,,,19-20,,,,,,,,,,,,19-20,,,,,,,,,19-20,0,0,0,0,0,,,,,,,
,20-21,,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,,20-21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEPI (curs) ,2,,,,,,,,,,DEPI (curs),2,,,,,,,,,,DEPI (curs),2,,,,,,,,,,,DEPI (curs),2,,,,,,,,,,DEPI (curs),2,,,,,,,,,,,DEPI (curs),2,,,DEPI (curs),2,,,,,,,,,,,,,,,,
,PDS (curs),2,,,,,,,,,,PDS (curs),2,"
",,,,,,,,,PDS (curs),2,,,,,,,,,,,PDS (curs),2,,,,,,,,,,PDS (curs),2,,,,,,,,,,,PDS (curs),2,,,PDS (curs),2,,,,,,,,,,,,,,,,
,TV (curs),1,,,,,,,,,,TV (curs),1,,,,,,,,,,CAD (curs),2,,,,,,,,,,,CAD (curs),2,,,,,,,,,,TV (curs),1,,,,,,,,,,,TV (curs),1,,,TV (curs),1,,,,,,,,,,,,,,,,
,TPI (curs),1,,,,,,,,,,SCCS (curs),1,,,,,,,,,,ARI (curs),1,,,,,,,,,,,APC (curs),2,,,,,,,,,,SCCS (curs),2,,,,,,,,,,,SCCS (curs),1,,,SCCS (curs),1,,,,,,,,,,,,,,,,
, TOP (curs),1,,,,,,,,,,SC (curs),1,,,,,,,,,,"CM (curs)
",1,,,,,,,,,,,"TPI (curs)
",1,,,,,,,,,,ISM (curs),1,,,,,,,,,,,SC (curs),1,,,SC (curs),1,,,,,,,,,,,,,,,,
,ASC (curs),1,,,,,,,,,,EII (curs),1,,,,,,,,,,Optional (curs),0,,,,,,,,,,,Optional (curs),0,,,,,,,,,,SC (curs),1,,,,,,,,,,,EII (curs),1,,,EII (curs),1,,,,,,,,,,,,,,,,
,SO (curs),1,,,,,,,,,,BD (curs),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAF (curs),1,,,,,,,,,,,TPI (curs),1,,,TPI (curs),1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEPI(s),1,1,1,1,1,1,1,1,0,,DEPI(s),1,1,1,1,1,1,1,1,1,,DEPI(s),1,1,1,1,1,1,1,1,0,0,,DEPI(s),1,1,1,1,1,1,1,1,0,,DEPI(s),2,2,1,1,1,1,1,1,1,1,,DEPI(s),1,1,0,DEPI(s),1,1,1,,,,,,,,,,,,,,
,DEPI(l),1,1,1,1,1,1,1,1,0,,DEPI(l),1,1,1,1,1,1,1,1,1,,DEPI(l),1,1,1,1,1,1,1,1,0,0,,DEPI(l),1,1,1,1,1,1,1,1,0,,DEPI(l),2,2,2,2,2,2,2,2,1,1,,DEPI(l),1,1,0,DEPI(l),1,1,1,,,,,,,,,,,,,,
,PDS(l),2,4,2,4,2,2,2,2,0,,PDS(l),2,2,2,2,2,2,2,2,2,,PDS(l),1,1,1,1,1,1,1,1,0,0,,PDS(l),2,2,2,2,2,2,2,2,0,,PDS(l),1,1,3,3,2,2,3,3,1,1,,DSP(l),1,1,0,DSP(l),1,1,1,,,,,,,,,,,,,,
,TV(l),2,2,2,2,2,2,2,2,0,,TV(l),1,1,1,1,1,1,1,1,1,,PDS(s),1,1,1,1,1,1,1,1,0,0,,PDS(s),1,1,1,1,1,1,1,1,0,,TV(l),2,2,2,2,2,2,2,2,2,2,,DSP(p),1,1,0,DSP(s),1,1,1,,,,,,,,,,,,,,
,TPI(l),1,1,1,1,1,1,1,1,0,,SCCS(l),1,1,1,1,1,1,1,1,1,,PDS(p),1,1,1,1,1,1,1,1,0,0,,CAD(s),2,2,2,2,2,2,2,2,0,,SCCS(l),1,1,2,2,1,1,1,1,1,1,,TV(l),1,1,0,DSP(p),1,1,1,,,,,,,,,,,,,,
,TPI(p),1,1,1,1,1,1,1,1,0,,SC(l),1,1,1,1,1,1,1,1,1,,CAD(s),1,1,1,1,1,1,1,1,0,0,,TPI(l),1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,SCCS(l),1,1,0,CAD (s),0,0,0,,,,,,,,,,,,,,
,TOP(l),1,1,1,1,1,1,1,1,0,,EII(l),1,1,1,1,1,1,1,1,1,,ARI(l),1,1,1,1,1,1,1,1,0,0,,APC(l),2,2,2,2,2,2,2,2,0,,ISM(l),1,1,1,1,1,1,2,1,1,1,,SC(l),1,1,0,NAI(l),1,2,1,,,,,,,,,,,,,,
,ASC(l),1,1,1,1,1,1,1,1,0,,BD(l),1,1,1,1,1,1,1,1,1,,CM(l),1,1,1,1,1,1,1,1,0,0,,"O3(l)
",0,0,0,0,0,0,0,0,0,,SC(l),1,1,1,1,1,1,1,2,1,1,,EII(l),1,1,0,MC(l),1,1,1,,,,,,,,,,,,,,
,SO(l),1,1,1,1,1,1,1,1,0,,Pr2,0,0,0,0,0,0,0,0,0,,CM(s),1,1,1,1,1,1,1,1,0,0,,Pr2,0,0,0,0,0,0,0,0,0,,CAF(l),1,1,1,1,1,1,1,1,1,1,,TPI(l),0,0,0,MC(s),1,1,1,,,,,,,,,,,,,,
,Pr2,0,0,0,0,0,0,0,0,0,,"#
",0,0,0,0,0,0,0,0,0,,Pr2,0,0,0,0,0,0,0,0,0,0,,#,0,0,0,0,0,0,0,0,0,,#,0,0,0,0,0,0,0,0,0,0,,Pr2,0,0,0,O3(l),0,0,0,,,,,,,,,,,,,,
,#,0,0,0,0,0,0,0,0,0,,"#
",0,0,0,0,0,0,0,0,0,,O3 (l),0,0,0,0,0,0,0,0,0,0,,#,0,0,0,0,0,0,0,0,0,,#,0,0,0,0,0,0,0,0,0,0,,#,0,0,0,Pr2,0,0,0,,,,,,,,,,,,,,
